,title,triller,year,duracion,gender,sinopsis,reparto,url,pathposter,pathGallery
0,Soul,Vt5GupUYVuk,2020,90,"Animación, Música, Familiar, Aventura , Ciencia Ficción, Fantasía","La película presenta a Joe Gardner (Foxx), un maestro de música de secundaria cuya verdadera pasión es tocar jazz. Justo cuando Joe piensa que puede alcanzar su sueño, un acontecimiento inesperado lo envía a un lugar fantástico donde se ve obligado a pensar sobre lo que realmente significa tener alma. Ahí es donde se encuentra con 22 (Fey), un alma que no cree que la vida en la Tierra sea todo lo que parece ser.","Jamie Foxx, Tina Fey, Daveed Diggs, Phylicia Rashad",https://uqload.com/embed-wutygddc1wud.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculasoul-1.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculasoul-1.jpg
1,Life in a Year,xZdThFV1uYU,2020,107,"Romance, Drama","Daryn (Smith) es una estrella de atletismo de secundaria con ambiciones para Harvard. O mejor dicho, su padre Xavier (Cuba Gooding Jr.) tiene un plan para Daryn. Cuando Daryn conoce a Isabelle (Cara Delevingne), ella rechaza la planificación para el futuro y cuestiona el futuro que Daryn ha planeado. Cuando ambos se enteran de que lIsabelle se está muriendo y solo le queda un año de vida, Daryl decide no separarse de ella ni un minuto.","Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Nia Long",https://uqload.com/embed-guznepbdt69e.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculalife-in-a-year-2.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculalife-in-a-year-2.jpg
2,Songbird (Inmune),7JTacSpPzhs,2020,90,"Intriga, Drama, Romance","Es el año 2024, han pasado dos años desde que una pandemia mundial asoló el mundo. El virus COVID23 ha sufrido una nueva y peligrosa mutación con un 50% de mortalidad que obligó a los Gobiernos a ordenar un nuevo confinamiento mundial. Nico (KJ Apa) es un repartidor que ha desarrollado una poco común inmunidad al virus, lo que le permite seguir trabajando. Nico quiere estar junto a su novia Sara (Sofia Carson), pero para ello deberá superar la ley marcial y enfrentarse a gente peligrosa, poderosa y muy desesperada.","KJ Apa, Sofia Carson, Bradley Whitford, Demi Moore",https://uqload.com/embed-dtfg0cabjy4r.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculainmune-3.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculainmune-3.jpg
3,Echo Boomers,l9-TPo2igog,2020,94,"Misterio, Crimen, Drama, Acción, Suspenso","Un recién graduado universitario, Lance Zutterland (Schwarzenegger), deja la escuela endeudado y se da cuenta de que todo por lo que había trabajado se basaba en una mentira. Cuando se ve involucrado en una operación criminal clandestina, encuentra a sus compañeros luchando contra el sistema, robando a los ricos para dárselo... a ellos mismos. Sin nada que perder, dejan un rastro de destrucción, pero con la policía acercándose, las tensiones aumentan y Lance pronto descubre que está en un callejón sin salida.","Michael Shannon, Lesley Ann Warren, Alex Pettyfer, Patrick Schwarzenegger",https://uqload.com/embed-2ikmn133vtbz.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculageneracion-y-4.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculageneracion-y-4.jpg
4,Wild Mountain Thyme,YrqpZDtt1Hw,2020,102,"Drama, Romance","Jamie Dornan y Holliday Grainger interpretan a dos obstinados y jóvenes amantes de la Irlanda rural, cuyas familias se encuentran en disputa por una franja de terreno muy codiciada que separa sus granjas. Anthony se pasa el día trabajando en el campo, agotado por el constante menosprecio de su padre. Un día, su padre le amenaza con desheredarle y entregarle la granja familiar a su primo estadounidense Adam. La joven Rosemary, al principio, parece guardarle rencor a Anthony por las múltiples ocasiones en que este la avergonzó en la infancia, pero las chispas pronto saltarán entre ellos. Su madre Aoife se esfuerza por unir a las familias y apartar sus diferencias antes de que sea demasiado tarde. Justo cuando Anthony parece reunir el coraje para enfrentarse a sus sentimientos reprimidos hacia Rosemary, su primo Adam interviene con un plan que incluye unas veinticuatro horas mágicas en Manhattan.","Jamie Dornan, Emily Blunt, Jon Hamm, Christopher Walken",https://uqload.com/embed-3umnt8xde67h.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculauna-cancion-irlandesa-5.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculauna-cancion-irlandesa-5.jpg
5,Giving Voice: Competencia de Monólogos en Broadway,LGXtd69CtOs,2020,80,Documental,"Cada año, miles de estudiantes de secundaria participan en la competencia de monólogos de August Wilson para tener la oportunidad de actuar en Broadway. Esta película sigue a estos estudiantes, examinando cómo Wilson y sus personajes le hablan a una nueva generación, inspirándolos a escuchar sus palabras y encontrar su propia voz.",,https://uqload.com/embed-wi1ssd99uakl.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculagiving-voice-competencia-de-monologos-en-broadway-6.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculagiving-voice-competencia-de-monologos-en-broadway-6.jpg
6,Déjales hablar,H5Dgji_6_xI,2020,113,"Comedia, Drama","Alice Hughes, una famosa y respetada novelista que ha ganado un Pulitzer hace ya mucho tiempo y que ha sido galardonada con otro premio que le dan sus colegas y que tiene que ir a recogerlo a Gran Bretaña. Pero la mujer odia viajar en avión y su joven agente Karen le consigue un viaje en el lujoso buque en cuestión. El arreglo consiste en que Alice de una charla a los pasajeros y a cambio le ofrecen un pasaje para ella y tres personas más: dos amigas suyas, quienes son Susan y Barbara de la época de la universidad y su sobrino veinteañero.","Meryl Streep, Gemma Chan, Dianne Wiest, Candice Bergen",https://uqload.com/embed-4dqhzro1pbzv.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculadejales-hablar-7.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculadejales-hablar-7.jpg
7,Faith Under Fire,1SzM7uvOXW4,2020,88,Drama,"Después de una noche agotadora salvando a una niña de un incendio en una casa, el bombero Tom Hatcher está al final de su cuerda. No pudo salvar a su esposa del cáncer, y peor aún, su hija de 6 años, Tiffany, ahora enfrenta el mismo destino posible. Cuando se encuentra en una celda fría después de atacar a un pastor debido a la frustración con un Dios aparentemente ausente, Tom comienza a reflexionar sobre su espiral descendente hacia la desesperación. Pero con la ayuda y la amistad persistente del mismo hombre al que agredió, Tom enfrenta el desafío de enfrentar su dolor y abrazar la fe en las horas más oscuras de su vida.","Dean Cain, Kevin Sorbo, Tenley Nora Molzahn Leopold, Nick Vlassopoulos",https://uqload.com/embed-teimb80rvruf.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculafaith-under-fire-8.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculafaith-under-fire-8.jpg
8,Supermonstruos: Los Ayudantes de Santa,KzjnQKCzWDE,2020,24,"Comedia, Infantil, Familiar, Animación","Cuando Santa Claus se le presenta una dificulta y precisa ayuda seria para así poder preparar sus regalos, los Supermonstruos deciden echarle una mano, y un tanto de magia monstruosa, ¡a fin de que todos y cada uno de los regalos lleguen a tiempo!, así transcurrirán las horas y muchas complicaciones aparecerán , pero harán todo lo posible para poder tener los regalos a tiempo y así poder salvar la navidad.","Gigi Saul Guerrero, Elyse Maloway, Erin Mathews, Andrea Libman",https://uqload.com/embed-7fzjcy0mkn8k.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculasupermonstruos-los-ayudantes-de-santa-9.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculasupermonstruos-los-ayudantes-de-santa-9.jpg
9,Wolfwalkers: Espíritu de Lobo,UR7wGdXNnwQ,2020,103,"Animación, Familiar, Fantasía, Aventura ","En una época de superstición y magia, cuando los lobos son vistos como demoníacos y la naturaleza como un mal que hay que domesticar, una joven cazadora aprendiz, ROBYN, llega a Irlanda con su padre para acabar con la última manada. Pero cuando Robyn salva a una salvaje nativa, MEBH, su amistad la lleva a descubrir el mundo de los WOLFWALKERS y a transformarla en lo que su padre tiene la tarea de destruir.","Sean Bean, Honor Kneafsey, Eva Whittaker, Maria Doyle Kennedy",https://uqload.com/embed-g5dyh2ztru8m.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculawolfwalkers-espiritu-de-lobo-10.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculawolfwalkers-espiritu-de-lobo-10.jpg
10,High School Musical: El Musical: El Especial de Las Fiestas,Tc2MUxr6uVs,2020,45,"Drama, Música, Navidad, Comedia, Musical","En este nuevo especial de música navideña, el elenco de High School Musical: The Musical: The Series ofrece una abundancia de alegría navideña para sentirse bien. Ellos interpretan sus canciones favoritas de Navidad, Hanukkah y Año Nuevo y comparten anécdotas de sus memorables vacaciones, ¡las mejores y más vergonzosas! - regalos, tradiciones navideñas favoritas, fotos familiares de Navidad y conmovedoras resoluciones de Año Nuevo. High School Musical: The Musical: The Holiday Special también contará con un adelanto de la primera actuación de la muy esperada segunda temporada de High School Musical: The Musical: The Series.","Joshua Bassett, Olivia Rodrigo, Sofia Wylie, Matt Cornett",https://uqload.com/embed-6x9zakpah6oj.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculahigh-school-musical-el-musical-el-especial-de-las-11.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculahigh-school-musical-el-musical-el-especial-de-las-11.jpg
11,The Reason,DNMMwp3ajh0,2020,82,"Familiar, Drama","Cuando un hombre misterioso aparece en una pequeña ciudad, comienzan a ocurrir milagros inexplicables que cambian la vida de todos los que conoce. Hay una madre cuyo hijo de cinco años tiene leucemia, dos médicos, uno ateo obsesionado por su pasado, el otro un brillante joven oncólogo que pone toda su esperanza en el poder de la medicina moderna, y un pastor ciego cuyo hijo no ha vivido. Hablé una sola palabra en 38 años. Todos ellos serán reunidos por la presencia de este extraño, que les enseña el verdadero significado de la fe y la esperanza.","Louis Gossett Jr., Burgess Jenkins, Alan Powell, Tatyana Ali",https://uqload.com/embed-d9zlhnospoxv.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculathe-reason-12.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculathe-reason-12.jpg
12,Safety: La Última Línea de Defensa,Ey0N9AzWy2g,2020,122,"Drama, Biografico, Familiar, Deportes","Basada en la inspiradora historia de Ray McElrathbey, antiguo 'safety' de la Universidad de Clemson. Es la historia de un joven que se tuvo que enfrentar a todo tipo de dificultades, y cometer muchos errores, pero cuya dedicación y persistencia que tenía, le permitieron superar numerosas adversidades. Con ayuda de sus compañeros de equipo y de la comunidad de Clemson, logró triunfar en el campo, mientras que a la vez, el tenía que criar y cuidar de Fahmarr, su hermano menor de once años.","Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, James Badge Dale",https://uqload.com/embed-jwmgc9vhpsyx.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculasafety-la-ultima-linea-de-defensa-13.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculasafety-la-ultima-linea-de-defensa-13.jpg
13,El Baile,AdKGkkrmvrA,2020,132,"Comedia, Romance, Música, Drama, Musical","Dee Dee Allen (Meryl Streep), dos veces ganadora del premio Tony, se asocia con Barry Glickman (James Corden) en un musical sobre la primera dama Eleanor Roosevelt que finalmente fracasa. Cada uno de ellos recibe “reseñas de finalización de carrera” y optan por revivir sus medios de vida al encontrar una causa benéfica a la que apoyar. A ellos se unen en el esfuerzo de ayudar, la veterana corista del teatro de Broadway Angie Dickinson (Nicole Kidman) y el desafortunado actor Trent Oliver (Andrew Rannells). ​Encuentran una causa en Emma Nolan (Jo Ellen Pellman), una estudiante de último año de secundaria que tiene prohibido llevar a su novia Alyssa (Ariana DeBose) al baile de graduación. El cuarteto de Broadway va a Edgewater, Indiana, para ayudar a las adolescentes lesbianas.","Meryl Streep, Jo Ellen Pellman, James Corden, Nicole Kidman",https://uqload.com/embed-os046vxcs6nu.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculael-baile-14.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculael-baile-14.jpg
14,Soy Tu Mujer,gTN-rO6yEXQ,2020,120,"Drama, Misterio, Thriller, Crimen, Suspenso","Jean es una mujer casada con una vida aparentemente fácil que dedica a su bebé y a su marido Eddie, que se dedica al crimen. Pero cuando Eddie traiciona a sus socios, Jean y su bebé se ven obligados a huir. En su fuga les ayudará un viejo amigo de su marido, Cal que tiene la misión de mantenerlos a salvo. Sin embargo, cuando Cal desaparece misteriosamente, Jean se hace amiga de Teri . Ahora, juntas, emprenderán un peligroso viaje al submundo criminal en el que se encuentra Eddie.","Rachel Brosnahan, Arinzé Kene, Marsha Stephanie Blake, Bill Heck",https://uqload.com/embed-jod0s7p03o0t.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculasoy-tu-mujer-15.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculasoy-tu-mujer-15.jpg
15,La Navidad de Gran Camión,i2UT4DQUfMg,2020,28,"Familiar, Infantil, Animación, Navidad, Aventura ","Todo gira cuando Hank descubre que Trash Truck no sabe qué es la Navidad, Hank como buen amigo se propone en mostrarle a él y a sus amigos de qué se tratan las vacaciones mágicas. Desafortunamente en Nochebuena, Papá Noel se estrella en el vertedero. pero Hank, Basurete y sus amigos los animales arriman el hombro para rescatarlo para salvar la Navidad y todos tengamos una feliz Navidad.","Glen Keane, Lucas Neff, Brian Baumgartner, Jackie Loeb",https://uqload.com/embed-w2wsp5v1ti5i.html,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/poster/peliculala-navidad-de-gran-camion-16.jpg,/home/alexander/worksites/webScraping/firstWebScapring/examples/pelisPlus/gallery/peliculala-navidad-de-gran-camion-16.jpg
